kanaele;filterpapier;zeit_filterpapier;co60;zeit_co60;ba133;zeit_ba133;background;zeit_background
2;0;13485,402;0;759369;0;766.101;3;66400,501
3;1;13461,895;0;751653;0;763.945;3;52531,752
4;0;;0;;1;;6;
5;3;;0;;0;;8;
6;0;;0;;0;;5;
7;2;;0;;1;;8;
8;1;;0;;0;;5;
9;0;;0;;0;;6;
10;1;;0;;0;;6;
11;2;;1;;1;;4;
12;1;;1;;0;;3;
13;2;;1;;0;;4;
14;1;;1;;1;;8;
15;0;;0;;0;;7;
16;4;;0;;1;;4;
17;1;;0;;0;;8;
18;0;;0;;0;;5;
19;1;;1;;1;;2;
20;2;;0;;0;;5;
21;0;;0;;0;;7;
22;2;;0;;0;;6;
23;1;;1;;0;;5;
24;0;;0;;1;;2;
25;0;;0;;0;;5;
26;1;;0;;0;;4;
27;1;;0;;0;;6;
28;1;;0;;1;;3;
29;2;;0;;0;;6;
30;1;;0;;0;;7;
31;1;;1;;0;;5;
32;1;;0;;0;;6;
33;1;;1;;0;;10;
34;0;;0;;0;;7;
35;1;;0;;0;;5;
36;1;;0;;0;;6;
37;2;;0;;0;;9;
38;2;;0;;0;;7;
39;1;;0;;0;;6;
40;0;;0;;2;;5;
41;0;;0;;0;;3;
42;0;;0;;0;;8;
43;0;;0;;0;;8;
44;1;;0;;0;;6;
45;0;;0;;0;;4;
46;1;;0;;0;;3;
47;0;;0;;0;;4;
48;0;;0;;0;;7;
49;0;;1;;1;;7;
50;2;;0;;0;;7;
51;0;;1;;0;;2;
52;1;;0;;0;;5;
53;0;;0;;0;;6;
54;1;;0;;0;;7;
55;0;;0;;0;;5;
56;3;;2;;0;;5;
57;4;;1;;0;;5;
58;2;;0;;0;;3;
59;1;;0;;1;;8;
60;0;;0;;0;;5;
61;3;;1;;1;;8;
62;1;;0;;0;;8;
63;2;;0;;0;;8;
64;2;;1;;0;;7;
65;1;;0;;0;;6;
66;1;;1;;0;;7;
67;0;;1;;0;;9;
68;1;;0;;0;;8;
69;0;;1;;0;;6;
70;1;;0;;0;;4;
71;0;;0;;0;;6;
72;1;;0;;0;;6;
73;2;;0;;1;;7;
74;2;;0;;0;;4;
75;1;;0;;0;;2;
76;0;;1;;1;;7;
77;1;;1;;0;;6;
78;1;;1;;0;;7;
79;2;;0;;0;;4;
80;2;;0;;0;;7;
81;2;;1;;1;;8;
82;5;;1;;0;;5;
83;2;;0;;0;;5;
84;3;;2;;0;;7;
85;1;;0;;1;;6;
86;1;;1;;0;;6;
87;2;;1;;0;;7;
88;0;;1;;1;;6;
89;2;;0;;0;;7;
90;0;;0;;0;;9;
91;2;;0;;0;;7;
92;3;;0;;0;;4;
93;2;;0;;0;;7;
94;3;;0;;0;;4;
95;2;;0;;0;;4;
96;0;;0;;0;;4;
97;0;;1;;0;;5;
98;1;;1;;0;;5;
99;1;;0;;0;;6;
100;0;;0;;0;;7;
101;1;;0;;0;;6;
102;1;;0;;1;;8;
103;2;;0;;0;;6;
104;0;;0;;0;;3;
105;3;;1;;0;;12;
106;1;;0;;1;;3;
107;1;;1;;0;;6;
108;1;;0;;0;;8;
109;2;;0;;0;;8;
110;0;;1;;2;;8;
111;1;;0;;2;;8;
112;2;;1;;1;;7;
113;1;;1;;0;;7;
114;2;;0;;0;;8;
115;1;;0;;0;;7;
116;0;;0;;0;;7;
117;1;;0;;0;;4;
118;0;;0;;0;;1;
119;1;;0;;0;;5;
120;0;;0;;0;;3;
121;0;;0;;1;;6;
122;0;;1;;0;;8;
123;1;;1;;2;;5;
124;0;;0;;0;;6;
125;3;;2;;0;;8;
126;0;;1;;1;;8;
127;1;;0;;0;;8;
128;2;;0;;0;;5;
129;1;;0;;0;;3;
130;1;;1;;0;;5;
131;1;;1;;0;;6;
132;3;;1;;0;;4;
133;2;;0;;0;;7;
134;0;;0;;1;;7;
135;0;;0;;0;;4;
136;1;;0;;0;;3;
137;0;;0;;0;;6;
138;2;;0;;0;;7;
139;2;;1;;0;;9;
140;4;;0;;0;;7;
141;2;;0;;0;;2;
142;3;;1;;0;;6;
143;1;;0;;0;;5;
144;1;;0;;0;;10;
145;3;;0;;0;;11;
146;1;;0;;2;;8;
147;3;;0;;0;;8;
148;1;;0;;0;;6;
149;3;;0;;1;;5;
150;0;;1;;1;;8;
151;1;;0;;0;;7;
152;1;;1;;0;;9;
153;1;;1;;1;;10;
